0.000000,0.010000,0
0.000000,0.010000,0
0.000000,0.010000,0
0.000000,0.010000,0
0.000000,0.010000,0
0.000000,0.010000,0
0.000000,0.010000,0
0.000000,0.010000,0
0.000000,0.010000,0
0.000000,0.041000,0
0.020000,0.001232,1
0.020000,0.001232,1
0.011716,0.009516,1
0.010000,0.004142,1
0.010000,0.004142,1
0.010000,0.004142,1
0.010000,0.004142,1
0.010000,0.004142,1
0.010000,0.004142,1
0.010000,0.004142,1
0.010000,0.004142,1
0.010000,0.001904,1
0.040000,0.001000,2
0.040000,0.001000,2
0.021232,0.016833,2
